gB,gA,kB,kA,tAB,fAB,nAB,tBA,fBA,nBA
86.98026750135888,89.34034408106935,0.5959677526880591,0.5274007906481311,5.725087337302724,95.69885356271443,5.0,41.962070049350494,36.52417616772526,3.0
64.51618574517757,37.78460155409675,0.12996159424559797,0.5978026143845295,37.06976669900702,5.96974047988198,5.0,15.901495220902962,51.602182555498956,3.0
99.59267112746294,42.1546413451096,0.4555461418664414,0.4290978453708173,59.1146659612064,5.738563995981184,3.0,30.1121500924546,61.797866183238725,5.0
52.987122055336556,76.48903305807997,0.5459531941139131,0.28769779164198617,59.08347742170135,63.64817657345713,5.0,45.440161499443725,32.65033496863376,5.0
39.39289382807866,46.79131673056701,0.7866913341771177,0.4908913381131571,15.726996540737458,86.59238715927918,6.0,40.85588326110316,2.580034005922939,3.0
68.70542160939671,39.600251827290485,0.3426477720283927,0.6521254285768887,26.998131898292105,7.103554656208708,2.0,28.420527155995323,53.494479504557205,3.0
25.161079619139652,33.624323112324575,0.9061440496623608,0.9569302319409555,11.49658705136175,35.798547924084914,6.0,2.965216969020383,31.675021402908666,2.0
44.67695848846833,65.62614341881911,0.9207880541189558,0.5219977673655735,60.40264135973929,50.57834716947404,6.0,38.090253904614144,64.37292789674456,4.0
9.325984333361179,7.661027727634181,0.8032635955887131,0.26091897191880187,32.89412567218416,7.831208588248257,4.0,1.4866546681470103,73.90935006613216,5.0
1.9235743312805396,25.82967017504545,0.36347556272572545,0.6894978272635487,57.88364775830379,8.224025418509644,5.0,57.46779622381859,34.39523060083993,3.0
93.96269597436782,78.88489334379283,0.4988612899155167,0.9438717845601449,30.54349788260712,21.181070144841293,5.0,14.303280551791389,75.81090860410909,2.0
62.54397641319311,88.65979600021261,0.2454463771993208,0.34813254716679376,22.77120089486065,40.31314311710254,5.0,10.592637833423094,10.511630499531156,3.0
53.03551600870962,99.69078725718148,0.20260355537733482,0.16749610017969646,17.169142958514204,92.09728187784718,2.0,49.04522752012856,67.66604583043976,3.0
54.360345808657016,47.05173195350922,0.6706312272371944,0.7186098037933459,36.154254006779745,29.26978386029396,6.0,19.00935776976599,75.84712693067218,4.0
82.46467485834744,75.84612486847783,0.2546616028854478,0.8325106896782258,10.01405806371303,44.46009042325983,4.0,53.52223810642392,15.599025834829398,2.0
25.37997806965515,98.87513767227878,0.11978762951248229,0.912343205634873,23.634973850344597,85.20599063775423,5.0,51.31840755479749,3.417484024208375,4.0
63.49833033386225,97.25873437087918,0.33495068787047483,0.9697025417703755,52.00788850510305,79.08444994990474,4.0,22.95072970842495,81.22066515484637,3.0
66.23433381666214,18.573567781886617,0.2765197856864938,0.38122360523423593,16.443460615009418,61.58577431825977,3.0,42.6782979643508,25.650438207447095,2.0
74.2561785788022,34.48866089275249,0.7353188317641908,0.8167974094958872,39.94221825038855,43.11472399202756,5.0,30.258170071481704,96.8052449898535,5.0
76.62110654865457,56.49582836359241,0.47547367586884803,0.9179707075392918,30.329019677113337,2.646423529592589,4.0,42.728503522967316,72.7414323238479,4.0
